('damned',):21
('eggs',):20
('hacked',):1
('slapped',):8
('three',):161
('plates',):8
('saying',):55
('_in',):16
('nomine',):3
('patris',):1
('et',):21
('filii',):1
('spiritus',):1
('sancti',):1
('lumps',):4
('each',):91
('hewing',):2
('thick',):24
('slices',):2
('wheedling',):3
('grogan',):8
('jove',):5
('_so',):1
('mrs',):198
('cahill',):3
('_begob',):1
('ma',):16
('_god',):2
('send',):24
('lunged',):1
('messmates',):1
('slice',):10
('impaled',):2
('folk',):7
('earnestly',):9
('book',):82
('five',):88
('lines',):27
('text',):7
('ten',):74
('pages',):25
('notes',):15
('fishgods',):1
('dundrum',):3
('printed',):21
('weird',):2
('sisters',):11
('year',):70
('big',):114
('fine',):60
('puzzled',):3
('lifting',):17
('brows',):7
('recall',):7
('brother',):64
('mabinogion',):2
('upanishads',):1
('doubt',):14
('reasons',):7
('fancy',):22
('ate',):18
('exist',):4
('imagines',):2
('kinswoman',):1
('mary',):54
('ann',):11
('smiled',):44
('charming',):15
('finical',):1
('showing',):24
('blinking',):10
('pleasantly',):3
('overclouding',):1
('features',):15
('growled',):8
('hoarsened',):1
('rasping',):1
('hewed',):1
('vigorously',):3
('hising',):2
('petticoats',):10
('crammed',):4
('mouth',):119
('munched',):3
('droned',):2
('darkened',):6
('entering',):9
('jug',):7
('glory',):15
('whom',):45
('glancing',):12
('sure',):97
('reached',):18
('took',):137
('milkjug',):1
('islanders',):1
('casually',):2
('speak',):54
('frequently',):8
('collector',):5
('prepuces',):2
('quart',):7
('watched',):28
('measure',):12
('thence',):5
('rich',):35
('hers',):14
('shrunken',):4
('paps',):1
('poured',):17
('measureful',):1
('tilly',):1
('entered',):20
('maybe',):10
('messenger',):5
('praised',):2
('goodness',):10
('pouring',):11
('crouching',):3
('patient',):8
('cow',):15
('daybreak',):2
('lush',):1
('field',):34
('witch',):5
('toadstool',):1
('wrinkled',):4
('quick',):49
('squirting',):2
('dugs',):1
('lowed',):1
('knew',):106
('dewsilky',):1
('cattle',):18
('silk',):40
('kine',):4
('names',):25
('given',):40
('times',):76
('wandering',):14
('crone',):3
('lowly',):1
('immortal',):12
('serving',):2
('conqueror',):3
('betrayer',):1
('common',):26
('cuckquean',):1
('serve',):7
('upbraid',):1
('whether',):36
('scorned',):1
('favour',):12
('indeed',):30
('cups',):8
('drank',):26
('bidding',):7
('food',):26
('somewhat',):10
('full',):110
('rotten',):11
('guts',):12
('living',):32
('bogswamp',):1
('eating',):22
('cheap',):21
('streets',):13
('paved',):1
('dust',):15
('horsedung',):1
('consumptives',):1
('spits',):3
('medical',):22
('student',):18
('listened',):15
('scornful',):2
('bows',):6
('speaks',):6
('bonesetter',):1
('medicineman',):1
('slights',):1
('shrive',):2
('oil',):17
('grave',):33
('unclean',):4
('loins',):5
('man',):426
('flesh',):38
('likeness',):5
('serpent',):3
('prey',):10
('bids',):4
('wondering',):4
('unsteady',):3
('understand',):35
('french',):34
('talking',):62
('longer',):8
('speech',):27
('confidently',):3
('gaelic',):7
('west',):22
('englishman',):8
('ought',):60
('ireland',):82
('ashamed',):4
('myself',):68
